"",5th,5th Target,Regional,Regional,,Employ.,
"",Employ.,Employ.,Pilot,Target,,Preference,
Foreign State,Creation,Areas,Program,Areas,5th Total,Total,Grand Total
Africa,,,,,,,
Algeria,0,0,0,0,0,59,119
Angola,0,0,0,0,0,6,24
Benin,0,0,0,0,0,17,24
Botswana,0,0,0,0,0,7,10
Burkina Faso,0,0,0,0,0,25,33
Burundi,0,0,0,0,0,6,6
Cameroon,2,0,0,0,2,64,268
Cape Verde,0,0,0,0,0,5,815
Central African Republic,0,0,0,0,0,5,8
Chad,0,0,0,0,0,5,6
Comoros,0,0,0,0,0,0,0
"Congo, Rep. of the",0,0,0,0,0,3,10
"Congo, Dem. Rep. of the",0,0,0,0,0,36,106
Cote d'Ivoire,0,0,0,0,0,44,109
Djibouti,0,0,0,0,0,1,1
Egypt,0,1,0,11,12,651,"1,468"
Equatorial Guinea,0,0,0,0,0,0,1
Eritrea,0,0,0,0,0,25,124
Ethiopia,0,0,0,0,0,185,"1,356"
Gabon,0,0,0,0,0,2,7
"Gambia, The",0,0,0,0,0,29,101
Ghana,0,0,0,0,0,270,"1,116"
Guinea,0,0,0,0,0,24,110
Guinea-Bissau,0,0,0,0,0,3,6
Kenya,0,0,0,0,0,377,674
Lesotho,0,0,0,0,0,4,7
Liberia,0,0,0,0,0,41,432
Libya,2,0,0,0,2,43,56
Madagascar,0,0,0,0,0,19,23
Malawi,0,0,0,0,0,15,27
Mali,0,0,0,0,0,42,73
Mauritania,0,0,0,0,0,3,30
Mauritius,0,0,0,0,0,28,30
Morocco,2,0,0,0,2,131,460
Mozambique,0,0,0,0,0,6,10
Namibia,0,0,0,0,0,8,9
Niger,0,0,0,0,0,13,17
Nigeria,0,0,0,6,6,689,"2,014"
Rwanda,0,0,0,0,0,9,12
Sao Tome and Principe,0,0,0,0,0,0,0
Senegal,0,0,0,0,0,91,214
"",5th,5th Target,Regional,Regional,,Employ.,
"",Employ.,Employ.,Pilot,Target,,Preference,
Foreign State,Creation,Areas,Program,Areas,5th Total,Total,Grand Total
Seychelles,0,0,0,0,0,3,8
Sierra Leone,0,0,0,0,0,55,220
Somalia,0,0,0,0,0,13,60
South Africa,5,2,0,12,19,868,966
South Sudan,0,0,0,0,0,1,1
Sudan,0,0,0,0,0,40,128
Swaziland,0,0,0,0,0,1,1
Tanzania,0,0,0,0,0,92,154
Togo,0,0,0,0,0,20,117
Tunisia,0,0,0,0,0,67,86
Uganda,0,0,0,0,0,82,147
Zambia,0,0,0,0,0,101,128
Zimbabwe,0,0,0,3,3,134,179
