"",5th,5th Target,Regional,Regional,,Employ.,
"",Employ.,Employ.,Pilot,Target,,Preference,
Foreign State,Creation,Areas,Program,Areas,5th Total,Total,Grand Total
Africa,,,,,,,
Algeria,0,0,0,0,0,33,187
Angola,0,0,0,4,4,11,29
Benin,0,0,0,0,0,11,47
Botswana,0,0,0,0,0,5,7
Burkina Faso,0,0,0,0,0,20,42
Burundi,0,0,0,5,5,15,20
Cabo Verde,0,0,0,0,0,5,555
Cameroon,0,0,0,0,0,101,444
Central African Republic,0,0,0,0,0,5,9
Chad,0,0,0,0,0,1,5
Comoros,0,0,0,0,0,1,1
"Congo, Dem. Rep. of the",0,0,0,0,0,43,221
"Congo, Rep. of the",0,0,0,0,0,4,11
Cote d'Ivoire,1,0,0,0,1,37,156
Djibouti,0,0,0,0,0,2,5
Egypt,0,0,0,37,37,745,"1,766"
Equatorial Guinea,0,0,0,0,0,0,0
Eritrea,0,0,0,0,0,20,170
Ethiopia,0,1,0,4,5,175,"1,510"
Gabon,0,0,0,0,0,10,22
"Gambia, The",0,0,0,0,0,12,122
Ghana,0,0,0,0,0,294,"1,125"
Guinea,0,0,0,0,0,16,107
Guinea-Bissau,0,0,0,0,0,2,5
Kenya,0,0,0,5,5,366,806
Lesotho,0,0,0,0,0,1,2
Liberia,0,0,0,0,0,16,404
Libya,0,0,0,0,0,50,68
Madagascar,0,0,0,0,0,18,19
Malawi,0,0,0,0,0,24,31
Mali,0,0,0,0,0,18,54
Mauritania,0,0,0,0,0,12,26
Mauritius,0,0,0,0,0,33,41
Morocco,0,0,0,0,0,138,605
Western Sahara,0,0,0,0,0,0,0
TOTAL,0,0,0,0,0,138,605
Mozambique,0,0,0,0,0,4,7
Namibia,0,0,0,0,0,10,13
Niger,0,0,0,0,0,19,32
Nigeria,5,0,0,45,50,860,"2,513"
Rwanda,0,0,0,0,0,16,34
Sao Tome and Principe,0,0,0,0,0,0,1
"",5th,5th Target,Regional,Regional,,Employ.,
"",Employ.,Employ.,Pilot,Target,,Preference,
Foreign State,Creation,Areas,Program,Areas,5th Total,Total,Grand Total
Senegal,0,0,0,0,0,68,222
Seychelles,0,0,0,0,0,3,3
Sierra Leone,0,0,0,0,0,47,200
Somalia,0,0,0,0,0,10,179
South Africa,0,0,0,22,22,"1,039","1,139"
South Sudan,0,0,0,0,0,0,1
Sudan,0,0,0,0,0,34,173
Swaziland,0,0,0,0,0,5,7
Tanzania,0,0,0,0,0,80,128
Togo,0,0,0,0,0,10,164
Tunisia,0,0,0,0,0,37,73
