"",5th,5th Target,Regional,Regional,,Employ.,
"",Employ.,Employ.,Pilot,Target,,Preference,
Foreign State,Creation,Areas,Program,Areas,5th Total,Total,Grand Total
Africa,,,,,,,
Algeria,0,0,0,0,0,42,170
Angola,0,0,0,0,0,10,18
Benin,0,0,0,0,0,13,33
Botswana,0,0,0,0,0,6,9
Burkina Faso,0,0,0,0,0,17,48
Burundi,0,0,0,0,0,9,19
Cabo Verde,0,0,0,0,0,5,703
Cameroon,0,0,0,0,0,92,535
Central African Republic,0,0,0,0,0,4,6
Chad,0,0,0,0,0,6,8
Comoros,0,0,0,0,0,1,1
"Congo, Dem. Rep. of the",0,0,0,0,0,39,221
"Congo, Rep. of the",0,0,0,0,0,1,16
Cote d'Ivoire,0,0,0,0,0,65,172
Djibouti,0,0,0,0,0,1,3
Egypt,0,8,0,28,36,761,"1,622"
Equatorial Guinea,0,0,0,0,0,0,1
Eritrea,0,0,0,0,0,26,177
Ethiopia,0,0,0,0,0,179,"1,749"
Gabon,0,0,0,0,0,14,17
"Gambia, The",0,0,0,1,1,31,113
Ghana,0,0,0,1,1,312,"1,237"
Guinea,0,0,0,0,0,15,124
Guinea-Bissau,0,0,0,0,0,2,2
Kenya,0,0,0,7,7,399,788
Lesotho,0,0,0,0,0,3,3
Liberia,0,0,0,1,1,37,378
Libya,0,0,0,0,0,52,75
Madagascar,0,0,0,0,0,20,29
Malawi,0,0,0,0,0,19,29
Mali,0,0,0,0,0,14,42
Mauritania,0,0,0,0,0,6,33
Mauritius,0,0,0,0,0,38,46
Morocco,0,0,0,2,2,138,491
Western Sahara,0,0,0,0,0,0,0
TOTAL,0,0,0,2,2,138,491
Mozambique,0,0,0,0,0,21,24
Namibia,0,0,0,0,0,14,14
Niger,0,0,0,0,0,19,25
Nigeria,0,0,0,45,45,900,"2,830"
Rwanda,0,0,0,3,3,25,37
"",5th,5th Target,Regional,Regional,,Employ.,
"",Employ.,Employ.,Pilot,Target,,Preference,
Foreign State,Creation,Areas,Program,Areas,5th Total,Total,Grand Total
Sao Tome and Principe,0,0,0,0,0,1,3
Senegal,0,0,0,0,0,80,212
Seychelles,0,0,0,0,0,3,3
Sierra Leone,0,0,0,0,0,48,172
Somalia,0,0,0,0,0,6,141
South Africa,0,0,0,30,30,928,"1,023"
South Sudan,0,0,0,0,0,2,5
Sudan,0,0,0,0,0,41,131
Swaziland,0,0,0,0,0,7,7
Tanzania,0,0,0,0,0,59,113
Togo,0,0,0,0,0,18,195
Tunisia,0,0,0,0,0,61,74
