"",,,5th,5th,,,
"",5th,5th Target,Regional,Regional,,Employ.,
"",Employ.,Employ.,Pilot,Target,,Preference,
Foreign State,Creation,Areas,Program,Areas,5th Total,Total,Grand Total
Africa,,,,,,,
Algeria,0,0,0,4,4,75,230
Angola,0,0,0,1,1,24,46
Benin,0,0,0,0,0,25,52
Botswana,0,0,0,0,0,20,22
Burkina Faso,0,0,0,1,1,43,76
Burundi,0,0,0,0,0,7,19
Cabo Verde,0,0,0,0,0,5,"1,329"
Cameroon,0,0,0,1,1,79,568
Central African Republic,0,0,0,0,0,0,7
Chad,0,0,0,0,0,2,2
Comoros,0,0,0,0,0,0,0
"Congo, Dem. Rep. of the",0,0,0,0,0,55,344
"Congo, Rep. of the",0,0,0,0,0,2,10
Cote d'Ivoire,0,0,0,0,0,21,216
Djibouti,0,0,0,0,0,7,7
Egypt,0,0,0,17,17,981,"2,105"
Equatorial Guinea,0,0,0,0,0,0,0
Eritrea,0,0,0,0,0,26,294
Ethiopia,0,0,0,0,0,220,"2,407"
Gabon,0,0,0,0,0,11,24
"Gambia, The",0,0,0,0,0,17,154
Ghana,0,0,0,0,0,247,"1,890"
Guinea,0,0,0,0,0,11,134
Guinea-Bissau,0,0,0,0,0,1,8
Kenya,0,0,0,0,0,372,929
Lesotho,0,0,0,0,0,5,5
Liberia,0,0,0,0,0,40,635
Libya,0,0,0,0,0,122,142
Madagascar,0,0,0,0,0,15,18
Malawi,0,0,0,0,0,17,18
Mali,0,0,0,0,0,16,58
Mauritania,0,0,0,0,0,8,25
Mauritius,0,0,0,1,1,29,39
Morocco,0,0,0,0,0,136,474
Western Sahara,0,0,0,0,0,0,0
TOTAL,0,0,0,0,0,136,474
Mozambique,0,0,0,0,0,13,16
Namibia,0,0,0,0,0,4,6
Niger,0,0,0,0,0,24,35
Nigeria,0,0,0,89,89,994,"3,285"
"",,,5th,5th,,,
"",5th,5th Target,Regional,Regional,,Employ.,
"",Employ.,Employ.,Pilot,Target,,Preference,
Foreign State,Creation,Areas,Program,Areas,5th Total,Total,Grand Total
Rwanda,0,0,0,0,0,19,55
Sao Tome and Principe,0,0,0,0,0,0,2
Senegal,0,0,0,0,0,50,225
Seychelles,0,0,0,0,0,0,0
Sierra Leone,0,0,0,0,0,20,297
Somalia,0,0,0,0,0,12,281
South Africa,0,1,0,52,53,896,999
South Sudan,0,0,0,0,0,3,20
Sudan,0,0,0,7,7,30,137
Swaziland,0,0,0,0,0,14,15
Tanzania,0,0,0,0,0,94,165
Togo,0,0,0,0,0,9,168
Tunisia,0,1,0,7,8,62,79
Uganda,0,0,0,0,0,105,218
Zambia,0,0,0,0,0,61,86
Zimbabwe,0,0,0,3,3,166,218
Region Total For Africa,0,2,0,183,185,"5,215","18,594"
Asia,,,,,,,
Afghanistan,0,5,0,0,5,35,373
Bahrain,0,0,0,0,0,73,81
Bangladesh,0,0,0,7,7,784,"7,754"
Bhutan,0,0,0,0,0,4,11
Brunei,0,0,0,0,0,10,10
Burma,0,0,0,2,2,56,612
Cambodia,0,0,0,0,0,156,843
China - mainland born,180,283,11,"7,093","7,567","19,103","34,504"
"- Taiwan born",9,6,0,173,188,"2,329","3,057"
Hong Kong S.A.R.,1,9,0,71,81,531,"1,365"
India,4,25,0,145,174,"23,566","38,927"
Indonesia,0,3,0,3,6,336,524
Iran,4,12,0,24,40,"2,087","4,230"
Iraq,0,0,0,0,0,58,396
Israel,1,0,0,7,8,"1,651","1,779"
Japan,0,0,0,37,37,"1,585","1,727"
Jordan,0,0,0,6,6,322,"2,087"
"Korea, North",0,0,0,0,0,15,17
"Korea, South",11,2,0,182,195,"11,329","12,710"
Kuwait,0,0,0,0,0,288,476
Laos,0,0,0,0,0,34,133
Lebanon,0,0,0,6,6,378,"1,195"
"",,,5th,5th,,,
"",5th,5th Target,Regional,Regional,,Employ.,
"",Employ.,Employ.,Pilot,Target,,Preference,
Foreign State,Creation,Areas,Program,Areas,5th Total,Total,Grand Total
Malaysia,1,0,0,7,8,513,696
Maldives,0,0,0,0,0,1,1
Mongolia,0,0,0,0,0,125,158
Nepal,0,0,0,0,0,"1,436","2,497"
Oman,0,0,0,0,0,35,42
Pakistan,0,4,0,18,22,"2,307","8,549"
Philippines,0,0,0,0,0,"8,824","22,625"
Qatar,0,0,0,1,1,66,93
Saudi Arabia,0,0,0,1,1,410,634
Singapore,0,0,0,7,7,432,489
Sri Lanka,0,0,0,0,0,489,726
Syria,0,0,0,24,24,293,"1,510"
Thailand,0,0,0,10,10,368,649
Timor-Leste,0,0,0,0,0,1,1
United Arab Emirates,0,1,0,11,12,472,665
Vietnam,1,24,0,446,471,"1,383","19,535"
Yemen,0,0,0,0,0,37,"1,601"
Region Total For Asia,212,374,11,"8,281","8,878","81,922","173,282"
Europe,,,,,,,
Albania,0,0,0,0,0,70,"1,030"
Andorra,0,0,0,0,0,1,1
Armenia,0,0,0,0,0,133,458
Austria,1,0,0,0,1,148,165
Azerbaijan,0,0,0,0,0,61,117
Belarus,1,0,0,0,1,298,434
Belgium,0,0,0,6,6,292,306
Bosnia and Herzegovina,1,0,0,0,1,65,198
Bulgaria,0,0,0,1,1,268,412
Croatia,0,0,0,0,0,93,128
Cyprus,0,0,0,1,1,39,44
Czech Republic,3,4,0,1,8,133,146
Denmark,1,0,0,0,1,218,224
Faroe Islands,0,0,0,0,0,1,1
Greenland,0,0,0,0,0,0,0
TOTAL,1,0,0,0,1,219,225
Estonia,0,0,0,0,0,42,48
Finland,0,2,0,0,2,247,252
France,3,5,0,27,35,"2,402","2,507"
French Polynesia,0,0,0,0,0,5,6
French Southern and Antarctic Lands,0,0,0,0,0,0,0
"",,,5th,5th,,,
"",5th,5th Target,Regional,Regional,,Employ.,
"",Employ.,Employ.,Pilot,Target,,Preference,
Foreign State,Creation,Areas,Program,Areas,5th Total,Total,Grand Total
New Caledonia,0,0,0,0,0,1,1
Saint Barthelemy,0,0,0,0,0,0,0
Saint Martin,0,0,0,0,0,0,0
St. Pierre and Miquelon,0,0,0,0,0,0,0
Wallis and Futuna,0,0,0,0,0,0,0
TOTAL,3,5,0,27,35,"2,408","2,514"
Georgia,0,0,0,1,1,91,226
Germany,2,1,0,23,26,"1,628","1,788"
Great Britain and Northern Ireland,3,2,0,77,82,"4,378","4,823"
Anguilla,0,0,0,0,0,1,9
Bermuda,0,0,0,0,0,10,18
British Indian Ocean Territory,0,0,0,0,0,0,0
British Virgin Islands,0,0,0,0,0,1,7
Cayman Islands,0,0,0,0,0,14,24
Falkland Islands,0,0,0,0,0,0,3
Gibraltar,0,0,0,0,0,2,2
Montserrat,0,0,0,0,0,0,1
Pitcairn,0,0,0,0,0,0,0
St. Helena,0,0,0,0,0,0,0
South Georgia and the South Sandwich Islands,0,0,0,0,0,0,0
Turks and Caicos Islands,0,0,0,0,0,4,6
TOTAL,3,2,0,77,82,"4,410","4,893"
Greece,0,0,0,7,7,359,428
Hungary,0,0,0,3,3,247,285
Iceland,0,0,0,0,0,46,50
Ireland,0,0,0,9,9,569,597
Italy,5,0,0,9,14,"1,328","1,476"
Kazakhstan,3,0,0,8,11,193,272
Kosovo,0,0,0,0,0,17,173
Kyrgyzstan,0,0,0,3,3,53,102
Latvia,0,0,0,0,0,61,75
Liechtenstein,0,0,0,0,0,0,0
Lithuania,0,0,0,0,0,57,92
Luxembourg,0,0,0,0,0,17,17
Macedonia,0,0,0,0,0,37,226
Malta,0,0,0,0,0,8,8
Moldova,0,0,0,0,0,134,222
Monaco,0,0,0,1,1,9,9
Montenegro,1,0,0,0,1,7,83
Netherlands,0,0,0,9,9,389,407
Aruba,0,0,0,0,0,9,16
Curacao,0,0,0,0,0,9,12
Sint Maarten,0,0,0,0,0,2,6
"",,,5th,5th,,,
"",5th,5th Target,Regional,Regional,,Employ.,
"",Employ.,Employ.,Pilot,Target,,Preference,
Foreign State,Creation,Areas,Program,Areas,5th Total,Total,Grand Total
TOTAL,0,0,0,9,9,409,441
Norway,0,0,0,0,0,70,73
Svalbard,0,0,0,0,0,0,0
TOTAL,0,0,0,0,0,70,73
Poland,0,0,0,3,3,804,"1,607"
Portugal,0,0,0,2,2,236,302
Macau,1,0,0,5,6,40,65
TOTAL,1,0,0,7,8,276,367
Romania,0,0,0,2,2,556,818
Russia,2,7,0,106,115,"2,165","2,666"
San Marino,0,0,0,0,0,0,0
Serbia,3,0,0,0,3,174,289
Slovakia,0,2,0,1,3,99,111
Slovenia,0,0,0,3,3,33,34
Spain,1,0,0,1,2,"1,087","1,163"
Sweden,0,1,0,6,7,351,377
Switzerland,0,1,0,4,5,239,249
Tajikistan,0,0,0,1,1,36,67
